Cod_setor,domi1V001,domi1V002,domi1V003,domi1V004,domi1V005,domi1V006,domi1V007,domi1V008,domi1V009,domi1V010,domi1V011
420140610000002,141,141,141,0,0,131,0,3,0,7,0
420140610000003,266,262,257,0,5,240,0,0,8,14,0
420140610000004,403,401,401,0,0,358,0,6,9,24,4
420140610000005,413,413,394,19,0,350,32,10,18,3,0
420140610000006,494,494,473,21,0,400,58,22,3,11,0
420140615000001,680,680,679,0,1,507,21,110,6,31,5
420140615000002,378,378,370,0,7,246,32,42,24,22,12
420140615000003,248,248,220,6,22,191,8,28,7,14,0
420140615000004,414,414,414,0,0,348,0,14,21,31,0
420140625000001,561,561,556,0,5,422,9,71,11,48,0
420140625000002,581,575,575,0,0,456,21,45,28,25,0
420140625000003,434,432,432,0,0,314,12,13,56,19,18
420140625000004,785,755,755,0,0,584,28,42,57,44,0
420140625000005,386,355,355,0,0,257,2,21,24,51,0
420140625000006,429,429,429,0,0,311,50,3,11,54,0
420150505000001,477,477,347,0,130,354,19,101,0,3,0
420150505000002,728,726,666,0,60,539,26,153,5,3,0
420150505000003,1096,1094,912,0,182,763,60,225,0,46,0
420150505000004,773,763,726,2,35,603,11,117,0,32,0
420150505000005,372,372,368,4,0,345,0,13,0,14,0
420150505000006,30,30,30,0,0,25,0,5,0,0,0
420150505000007,405,405,405,0,0,382,0,9,3,11,0
420150505000008,240,240,240,0,0,221,0,6,1,8,4
420150505000009,506,506,506,0,0,463,0,12,17,14,0
420150505000010,589,589,589,0,0,466,0,38,62,18,5
420150505000011,145,145,145,0,0,125,0,4,6,5,5
420150505000012,276,276,276,0,0,263,8,3,0,2,0
420150505000013,421,421,421,0,0,353,19,37,0,12,0
420150505000014,84,84,84,0,0,67,0,10,4,3,0
420150505000015,539,539,539,0,0,443,4,52,0,40,0
420150505000016,324,324,324,0,0,290,6,6,0,22,0
420150505000017,114,114,114,0,0,94,4,16,0,0,0
420150505000018,328,321,308,0,13,260,15,37,0,6,3
420150505000019,306,306,306,0,0,269,4,6,20,7,0
420160405000001,950,946,885,0,61,695,61,166,0,16,8
420160405000002,1366,1366,1343,0,23,1036,61,214,12,43,0
420160405000003,70,0,0,0,0,0,0,0,0,0,0
420160405000004,11,0,0,0,0,0,0,0,0,0,0
420160405000005,626,626,626,0,0,448,48,18,73,25,14
420160405000006,479,479,479,0,0,372,8,9,86,4,0
420165305000001,501,501,492,0,9,333,78,71,2,17,0
420165305000002,576,575,575,0,0,470,33,5,39,28,0
420165305000003,629,619,614,5,0,458,83,3,42,33,0
420165305000004,410,409,409,0,0,328,58,0,14,9,0
